Sample Source ID	Organism	Condition	Genotype	Time unit	Label	Characteristics[ecotype]	Array Design REF	Age	tussie	Array Data File	Labeled Extract Name	experimental condition	Assay Name	Factor Value[block]
3.DM.Control.3	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.Control.3.txt	3.DM.Control.3:Cy3	control	3.DM.Control.3	3
3.TM.Control.1	a thaliana		triple mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.TM.Control.1.txt	3.TM.Control.1:Cy3	control	3.TM.Control.1	3
3.DM.DH_HrH.2	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.DH_HrH.2.txt	3.DM.DH_HrH.2:Cy3	drought + heat + high humidity	3.DM.DH_HrH.2	3
3.DM.Control.2	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.Control.2.txt	3.DM.Control.2:Cy3	control	3.DM.Control.2	3
3.DM.DH_LrH.1	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.DH_LrH.1.txt	3.DM.DH_LrH.1:Cy3	drought + heat + low humidity	3.DM.DH_LrH.1	3
3.DM.DH_HrH.1	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.DH_HrH.1.txt	3.DM.DH_HrH.1:Cy3	drought + heat + high humidity	3.DM.DH_HrH.1	3
3.DM.DH_LrH.3	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.DH_LrH.3.txt	3.DM.DH_LrH.3:Cy3	drought + heat + low humidity	3.DM.DH_LrH.3	3
3.DM.DH_HrH.3	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.DH_HrH.3.txt	3.DM.DH_HrH.3:Cy3	drought + heat + high humidity	3.DM.DH_HrH.3	3
3.DM.H_HrH.2	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_HrH.2.txt	3.DM.H_HrH.2:Cy3	heat stress + high humidity	3.DM.H_HrH.2	3
2.WT.D.1	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.D.1.txt	2.WT.D.1:Cy3	drought stress	2.WT.D.1	2
3.DM.H_LrH.1	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_LrH.1.txt	3.DM.H_LrH.1:Cy3	heat stress + low humidity	3.DM.H_LrH.1	3
3.DM.H_HrH.1	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_HrH.1.txt	3.DM.H_HrH.1:Cy3	heat stress + high humidity	3.DM.H_HrH.1	3
3.DM.H_LrH.3	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_LrH.3.txt	3.DM.H_LrH.3:Cy3	heat stress + low humidity	3.DM.H_LrH.3	3
3.DM.H_HrH.3	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_HrH.3.txt	3.DM.H_HrH.3:Cy3	heat stress + high humidity	3.DM.H_HrH.3	3
3.TM.Control.2	a thaliana		triple mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.TM.Control.2.txt	3.TM.Control.2:Cy3	control	3.TM.Control.2	3
3.DM.H_LrH.2	a thaliana		double mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	3.DM.H_LrH.2.txt	3.DM.H_LrH.2:Cy3	heat stress + low humidity	3.DM.H_LrH.2	3
2.TM.H_HrH.2	a thaliana		triple mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.TM.H_HrH.2.txt	2.TM.H_HrH.2:Cy3	heat stress + high humidity	2.TM.H_HrH.2	2
2.WT.H_HrH.3	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.H_HrH.3.txt	2.WT.H_HrH.3:Cy3	heat stress + high humidity	2.WT.H_HrH.3	2
2.WT.Control.1	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.Control.1.txt	2.WT.Control.1:Cy3	control	2.WT.Control.1	2
2.TM.H_HrH.1	a thaliana		triple mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.TM.H_HrH.1.txt	2.TM.H_HrH.1:Cy3	heat stress + high humidity	2.TM.H_HrH.1	2
2.WT.Control.3	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.Control.3.txt	2.WT.Control.3:Cy3	control	2.WT.Control.3	2
2.TM.H_HrH.3	a thaliana		triple mutant	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.TM.H_HrH.3.txt	2.TM.H_HrH.3:Cy3	heat stress + high humidity	2.TM.H_HrH.3	2
2.WT.D.2	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.D.2.txt	2.WT.D.2:Cy3	drought stress	2.WT.D.2	2
2.WT.Control.2	a thaliana		wild type	w	Cy3	Col-0	A-GEOD-16892	3	rosette leaf	2.WT.Control.2.txt	2.WT.Control.2:Cy3	control	2.WT.Control.2	2
